seaTurtleId,seaTurtleName,sidNumber,strandingIdNumber,species,dateAcquired,acquiredFrom,turtleSize,status,dateRelinquished,relinquishedTo,anomalies,injuryBoatStrike,injuryIntestinalImpaction,injuryLineEntanglement,injuryFishHook,injuryUpperRespiratory,injuryAnimalBite,injuryFibropapilloma,injuryMiscEpidemic,injuryDoa,injuryOther,wasCarryingTagsWhenEnc,recaptureType,tagReturnAddress,captureProjectType,acquiredCounty,acquiredLatitude,acquiredLongitude,relinquishedCounty,relinquishedLatitude,relinquishedLongitude,organizationId
b5d0b4c7-7a66-4d0f-89fa-6ac4ce7da2f9,Cc0739,7124,MLB070614-01,CC,2007-06-14,Volusia cty beach st,Subadult,UR,2007-06-19,died,"leeches, barnacles emaciated, carapace margin fracture left lower; pcv 3 t.p. 0",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
5ef956d2-4563-4546-9a64-9508bacebb5b,Cm0740 Winston,7132,ALC070622-01,CM,2007-06-22,"brevard cty, port canaveral",Juvenile,UR,2007-07-20,died,fishing line constriction around neck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
aac0ca7f-9488-456d-ac38-6ca95ad7f226,Cc0741 Cracker,7139,MLB070704-01,CC,2007-07-04,Volusia Cty,Subadult,UR,2007-07-09,died,"toxicosis, neuro?; old hook wound lower jaw",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
b4a96892-bab5-46b5-aae5-0bbbcc41cbc7,Cm0742,7147,NMY070724-01,CM,2007-07-24,brevard cty cape canaveral,Juvenile,UR,2007-08-11,died,"neurologic head tilt  hyperglycemic, tar in feces",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
a989e353-76da-4a2a-810f-42be6488b98e,Cm0743,7146,MLB070726-01,CM,2007-07-26,volusia cty daytona beach,Juvenile,UR,2007-07-27,died,blunt trauma fractures to right front carapace and plastron - boat hit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
2bec732e-d7f1-4cc1-a650-0a6172fb1020,Cm0744 Lucie,7151,MLB070805-01,CM,2007-08-05,flagler cty,Juvenile,UR,2007-08-07,died,"boat hit right side carapace and plastron, rff, right side head",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
8ff49ab8-298e-4ef2-91ae-eb2e49531772,Cc0745 Eightball,7167,MSM070808-01,CC,2007-08-08,st johns cty anastasia park,Subadult,UR,2007-11-13,released,"barnacle encrusted, slightly emaciated",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
51b88d9d-8cfa-44f1-b8c8-180445a6c440,Cm0746 Jetty,7168,NMY070811-01,CM,2007-08-11,brevard cty jetty park,Juvenile,UR,2007-09-28,RELEASED,fish hook wounds right shoulder ventral side,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
b4126048-948c-44ca-a8ea-ef19299f5bd0,Cc0747,7176,TTH070904-01,CC,2007-09-04,st johns county,Subadult,UR,2007-10-19,died,"hyperglycemic, coma-like state, UI",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
8a0fd93d-5e5f-4b3e-b08f-d77e9593f5d0,Cm0748,7180,MLB070910-01,CM,2007-09-10,brevard cty cape canaveral,Juvenile,UR,2007-09-23,died,"missing lrf, floating - rads show impaction",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
aab2ae92-f24c-4753-a40b-2d0ac114c9d9,Cc0749 Big Mama,7211,MLB070930-01,CC,2007-09-30,"Volusia cty, racings north turn",Adult,UR,2007-11-09,"jekyll island, tx","barnacle encrusted, gooseneck; possible parasite",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,b225dd24-1d37-4252-b989-e342a690968b
