seaTurtleMorphometricId,seaTurtleId,dateMeasured,sclSNotchNotchValue,sclNotchNotchUnits,sclNotchTipValue,sclNotchTipUnits,sclTipTipValue,sclTipTipUnits,scwValue,scwUnits,cclNotchNotchValue,cclNotchNotchUnits,cclNotchTipValue,cclNotchTipUnits,cclTipTipValue,cclTipTipUnits,ccwValue,ccwUnits,weightValue,weightUnits
ca89b688-e2cb-48a6-9c0f-dce5007cccb2,ef5d875a-89ae-4b7e-b1cc-95dfa2e479ab,2008-02-09,33.6,cm,33.7,cm,0,,28.4,cm,34.5,cm,34.6,cm,0,,32,cm,6.1,kg
19051a71-c664-4fd8-a4f4-d4704b1ca292,2d255270-54f6-4afc-944d-20038b82b048,2008-02-11,27.6,cm,27.9,cm,0,,21.5,cm,29.2,cm,29.6,cm,0,,25.7,cm,2.46,kg
63aea6ab-63bf-456b-a374-380f159b65b3,f04efdbd-b75f-4ec9-99b2-c0d8df7f98a2,2008-02-11,31.8,cm,32.2,cm,0,,27.2,cm,33.1,cm,33.6,cm,0,,29.9,cm,3.86,kg
d319af76-645a-48ed-b637-f04563c5a579,60249f8f-2632-4434-8aaa-c1648fe7355b,2008-02-17,28.2,cm,28.7,cm,0,,22.9,cm,29.8,cm,30.4,cm,0,,25.7,cm,2.24,kg
925b90ae-8d35-4fdb-9687-c400daca1d0f,0feb95df-0498-4ea1-bd8d-3521cb485fb2,2008-02-17,29.8,cm,30.6,cm,0,,25,cm,32.4,cm,31.3,cm,0,,28.1,cm,3.3,kg
431105fd-eb14-421b-9028-56033af46947,90b3b94e-fb82-4b8e-abb9-c8533b3af273,2008-02-21,28.3,cm,28.9,cm,0,,24.1,cm,30.1,cm,30.3,cm,0,,27.5,cm,3.28,kg
224b0fa2-6b3b-45b0-829e-01a52bcd2b8c,6168e083-209b-45f9-a305-6f2b530d96f1,2008-02-22,42.8,cm,43.4,cm,0,,35,cm,45.3,cm,45.8,cm,0,,40,cm,11.2,kg
c5b7e3ba-c575-461f-8004-a5ad6ae9e34a,aef9853e-05f0-4155-8b15-0a778960850d,2008-02-17,25.9,cm,26.4,cm,0,,21.8,cm,26.9,cm,27.3,cm,0,,24.3,cm,2.48,kg
e112198d-36ea-4513-beb9-887eeab5f59a,a54d3f8b-0b6b-44f6-9d1e-3643c249c1b9,2008-02-29,28,cm,28.4,cm,0,,21.6,cm,29.9,cm,31.1,cm,0,,26.2,cm,2.72,kg
b95efe3d-a6e9-4344-98aa-2bd60fa31f96,497a0536-7a53-4e6a-b384-6719bdb764fc,2008-03-04,0,,0,,0,,0,,0,,0,,0,,0,,76,kg
4c2a56ab-5cc8-40f4-8ee0-71800a4cb828,af9db8ac-cfbb-44c4-bb62-94440b3019fe,2008-03-11,28.6,cm,29.3,cm,0,,24.6,cm,29.8,cm,30.6,cm,0,,26.8,cm,2.96,kg
381aae5c-7477-44fb-83f3-5f1533859056,5456cf3e-2fca-44cf-99db-6f5d34d1693c,2008-03-23,26.7,cm,27.3,cm,0,,22.4,cm,28,cm,28.7,cm,0,,24.2,cm,2.28,kg
ead27149-6da1-4996-873c-66de50727419,568babfa-a5b1-4a72-8655-5464ef6f1883,2008-03-23,31.6,cm,32.5,cm,0,,25.7,cm,33,cm,33.8,cm,0,,29.1,cm,3.9,kg
76920ea8-74b4-4b50-983f-c2d0bab938ed,6ab82cfe-eba0-456c-b700-246e452d5dc0,2008-03-23,0,,0,,0,,0,,0,,0,,0,,0,,2.55,kg
6dc7c7c1-d2c5-4cee-b460-a324131b4055,fe76aa37-f3e0-4659-9f10-be5ab8aaaffd,2008-03-27,28.7,cm,29.7,cm,0,,23.3,cm,30.6,cm,31.1,cm,0,,26.7,cm,2.8,kg
d3d5539d-cc46-42cb-8d8b-119ddeb5f7f9,af9db8ac-cfbb-44c4-bb62-94440b3019fe,2008-04-02,28.6,cm,29.3,cm,0,,24.6,cm,29.8,cm,30.6,cm,0,,26.8,cm,3.15,kg
44b28c50-a515-40ca-a0c0-8f07978bef91,7856f2de-bbec-4704-b2a9-4c0bbe8a3ad8,2008-04-09,28.5,cm,29.1,cm,0,,23.7,cm,30.4,cm,31,cm,0,,26.3,cm,2.44,kg
fa0fa4b1-df01-4a56-9083-a2ef8370d2ae,65e9bfe1-1b95-4fe5-8d08-da38b7189f7e,2008-04-03,31.1,cm,31.5,cm,0,,25.3,cm,33.8,cm,34.2,cm,0,,28.5,cm,4.05,kg
7710375f-76b2-4e63-bdb3-621aef64a734,90b3b94e-fb82-4b8e-abb9-c8533b3af273,2008-04-03,29.1,cm,29.4,cm,0,,24.4,cm,30.8,cm,31.1,cm,0,,28.5,cm,3.6,kg
ce2c5770-c1e0-4690-a2d3-bea940ebc5d0,497a0536-7a53-4e6a-b384-6719bdb764fc,2008-04-19,82.3,cm,83.4,cm,0,,62,cm,87,cm,88.3,cm,0,,79.6,cm,78,kg
4623dd53-21e2-4400-befc-e10cbc15674b,1c02648b-6728-4770-8023-fc2664baaf1e,2008-04-19,34.2,cm,35,cm,0,,27.9,cm,36.8,cm,37.5,cm,0,,32.1,cm,5.45,kg
6996a909-fa1a-4f9d-97e4-50b45abce1ab,0bcde870-627b-49fa-b91e-25a23a9da0f7,2008-04-26,51.4,cm,52.6,cm,0,,45,cm,57.8,cm,58.7,cm,0,,57,cm,21.55,kg
095314d2-328d-4767-9be0-5121de2b9c98,e679c7a0-7250-4ca9-8134-362f0c1a64a4,2008-04-25,30,cm,30.7,cm,0,,23.9,cm,33.9,cm,34.4,cm,0,,28.6,cm,3,kg
56c8d236-8c95-4967-9c8b-745a7818dfe8,97c653d6-251a-4869-a4df-369c0c9cb9af,2008-04-27,79.2,cm,79.5,cm,0,,62.8,cm,85.5,cm,86,cm,0,,80,cm,66.2,kg
2a02312e-4827-4248-af70-089b40ab87b1,60249f8f-2632-4434-8aaa-c1648fe7355b,2008-05-06,29,cm,29.2,cm,0,,23,cm,31.4,cm,31.4,cm,0,,26.6,cm,3.5,kg
8db1f36c-8fb4-45e8-a53a-b04d53869daf,a3ba403c-5a9e-4c0f-ac5b-c4c9e18a58cd,2008-05-03,0,,0,,0,,0,,0,,0,,0,,0,,0.234,kg
0e3c3590-0eaf-4ef0-bd2a-3ceb318715b9,a3ba403c-5a9e-4c0f-ac5b-c4c9e18a58cd,2008-05-16,0,,0,,0,,0,,0,,0,,0,,0,,0.258,kg
5f8320d8-0aa5-4c9d-b7d9-c0d8cffb0695,8df78f6c-58e8-49fd-8779-3a11957a6ee0,2008-05-24,0,,0,,0,,0,,63.8,cm,64.8,cm,0,,57.1,cm,28.2,kg
c84455e1-9deb-463a-b60e-3630c70072ba,f04efdbd-b75f-4ec9-99b2-c0d8df7f98a2,2008-05-22,33,cm,35,cm,0,,27.9,cm,35.6,cm,36.8,cm,0,,31,cm,56,kg
d8355c11-705a-401a-b620-b88b67c1a22a,2d255270-54f6-4afc-944d-20038b82b048,2008-05-22,29.7,cm,29.7,cm,0,,22.9,cm,31,cm,31,cm,0,,26.8,cm,3.05,kg
698821cd-3ccd-487c-b721-58b96959d168,c71da170-9190-4490-b965-7e2a1f7d7100,2008-06-07,29.8,cm,29.9,cm,0,,26.1,cm,32.5,cm,32.6,cm,0,,30.7,cm,3.7,kg
