seaTurtleMorphometricId,seaTurtleId,dateMeasured,sclSNotchNotchValue,sclNotchNotchUnits,sclNotchTipValue,sclNotchTipUnits,sclTipTipValue,sclTipTipUnits,scwValue,scwUnits,cclNotchNotchValue,cclNotchNotchUnits,cclNotchTipValue,cclNotchTipUnits,cclTipTipValue,cclTipTipUnits,ccwValue,ccwUnits,weightValue,weightUnits
5848547d-ad44-4a56-b3a1-83115a500a17,88d7578a-6bdc-44bb-8cb4-be20edf39e86,2008-08-19,27.3,cm,27.8,cm,0,,22,cm,29.1,cm,29.6,cm,0,,25,cm,2.5,kg
94c23714-2b73-4f24-8c28-af02de411c67,018450f6-3ba6-4edd-82d9-c97cb372dfc9,2008-09-29,0,,0,,0,,0,,33,cm,33.2,cm,0,,29,cm,15,lb
5f585fc8-6bd2-4cad-8e5f-5628111d2084,b338afd9-0a81-4b10-8cf2-316350eece04,2008-10-04,30.4,cm,30.6,cm,0,,25.1,cm,31.9,cm,32.4,cm,0,,27.9,cm,2.9,kg
d0fed627-4d88-414d-a091-705fae1ce730,16422836-205d-46d7-b525-e42649240469,2008-10-24,0,,16.8,cm,0,,11.4,cm,0,,16.8,cm,0,,14.7,cm,0.504,kg
9e933c13-51af-478f-8cea-09221260c5dc,250ad08d-e119-4cd9-a853-102f9be45f5e,2008-10-23,0,,0,,0,,0,,26,in,0,,0,,26,in,34,kg
53c05fff-a27f-4503-9b82-cc0d30ff6f79,73cc4792-0ef6-4ddc-a351-6f8e857e6eb8,2008-11-11,29.3,cm,29.7,cm,0,,22.6,cm,30.8,cm,31.2,cm,0,,25.7,cm,3.55,kg
4d8316d6-6970-4a82-bec9-855dc3839ad4,9124dd07-4ab5-46e1-851b-bb645d679998,2008-11-13,28.7,cm,29.5,cm,0,,22.9,cm,30.5,cm,31.3,cm,0,,25.8,cm,3.4,kg
56a44ad2-53a9-451a-8b7e-fe36de3c5107,16422836-205d-46d7-b525-e42649240469,2008-11-17,0,,0,,0,,0,,0,,0,,0,,0,,0.542,kg
6579b4fe-4556-48ce-ac85-9057e9a7fa48,ccca1b82-f109-4f6f-a5d6-3bd0433d50f9,2008-11-11,0,,0,,0,,0,,29,cm,29.5,cm,0,,0,,2.4,kg
aee0e3aa-f405-441b-9be2-2ea765423794,23132914-9c92-4dd1-bbf3-30d7092b7f9d,2008-11-13,34.9,cm,35,cm,0,,26.9,cm,36.9,cm,37,cm,0,,29.7,cm,5,kg
