washbacksEventId,species,eventDate,beachEventCount,offshoreEventCount,eventType,organizationId
d20b3630-3a49-4b90-968f-e3cfb4fce921,CM,2008-09-30,0,5,Released,b225dd24-1d37-4252-b989-e342a690968b
b3eb533f-a00d-446c-947b-d49bebc370b1,CC,2008-09-30,0,37,Released,b225dd24-1d37-4252-b989-e342a690968b
19a3794b-918e-4e49-8624-18cffaf78906,CC,2008-11-05,0,133,Released,b225dd24-1d37-4252-b989-e342a690968b
c902bdc5-c3e6-47e4-8981-e523d7edb418,CM,2008-11-05,0,36,Released,b225dd24-1d37-4252-b989-e342a690968b
