seaTurtleId|seaTurtleName|sidNumber|strandingIdNumber|species|dateAcquired|acquiredFrom|turtleSize|status|dateRelinquished|relinquishedTo|anomalies|injuryBoatStrike|injuryIntestinalImpaction|injuryLineEntanglement|injuryFishHook|injuryUpperRespiratory|injuryAnimalBite|injuryFibropapilloma|injuryMiscEpidemic|injuryDoa|injuryOther|wasCarryingTagsWhenEnc|recaptureType|tagReturnAddress|captureProjectType|didTurtleNest|captureProjectOther|acquiredCounty|acquiredLatitude|acquiredLongitude|relinquishedCounty|relinquishedLatitude|relinquishedLongitude|inspectedForTagScars|tagScarsLocated|scannedForPitTags|pitTagsScanFrequency|scannedForMagneticWires|magneticWiresLocated|inspectedForLivingTags|livingTagsLocated|brochureComments|brochureBackgroundColor|brochureImageFileAttachmentId
88D7578A-6BDC-44BB-8CB4-BE20EDF39E86|Cm0842 Ann|8272|AXZ080819-01|CM|2008-08-19|Satellite Beach|Juvenile|UR|2008-08-19|died|gang green lesion turtle, died in 30 min, sent to u of f|N|N|N|N|N|N|N|Y|N|N|N||||||Brevard|0|0||0|0|N||N||N||N|||-1|
9124DD07-4AB5-46E1-851B-BB645D679998|Cm0843 Cinder|8275|TLL080819-01|CM|2008-08-19||Juvenile|UR|2008-11-14|wilbur boat house ponce inlet|lacerated rff mid shaft|N|N|Y|N|N|N|N|N|N|N|N||||||St. Johns|0|0|Volusia|0|0|N||N||N||N|||-1|
7A67183B-B16A-45AE-9CE2-3EB4E10844CF|Cm0844|8285|CXD080909-01|CM|2008-09-09|Cape Canaveral|Juvenile|UR|2008-09-11|died|ingested fishing line, hook in esophagus, line out of cloaca|N|N|N|Y|N|N|N|N|N|N|N||||||Brevard|0|0||0|0|N||N||N||N|||-1|
018450F6-3BA6-4EDD-82D9-C97CB372DFC9|Cm0845 Bailey|8294|TMD080929-01|CM|2008-09-29|conch house marina|Juvenile|UR|||prop wound rear left side of carapace|Y|N|N|N|N|N|N|N|N|N|N||||||St. Johns|29.89329|-81.29519||0|0|N||N||N||N|||-1|
B338AFD9-0A81-4B10-8CF2-316350EECE04|Cm0846 Peyton|8299|TLL081004-01|CM|2008-10-04|marineland|Juvenile|UR|||severe boat strikes upper and mid carapace, 2/3rd plastron missing|Y|N|N|N|N|N|N|N|N|N|N||||||Flagler|0|0||0|0|N||N||N||N|||-1|
8B0FD126-DAA6-47C2-8BF3-0B440BFE94EB|Cm0847 Harvey|8307|TMD081010-01|CM|2008-10-10|conch house|Juvenile|UR|||old prop hit found floating, possible impaction|Y|Y|N|N|N|N|N|N|N|N|N||||||St. Johns|0|0||0|0|N||N||N||N|||-1|
16422836-205D-46D7-B525-E42649240469|Ei0848 Pumpkin|8312|Ei081024-01|EI|2008-10-24|washington oaks|Juvenile|UR|2008-11-05|fwc for release to juno beach|possible intestinal blockage, rear flippers half mobility|N|Y|N|N|N|N|N|N|N|Y|N||||||Flagler|0|0|St. Lucie|0|0|N||N||N||N|||-1|
250AD08D-E119-4CD9-A853-102F9BE45F5E|Cc0849 Jack|8313|DMJ081023-01|CC|2008-10-24|dondanville rd beach access|Subadult|UR|2008-10-30|died|uri, severe and intestinal hemorrhaging|N|N|N|N|Y|N|N|N|N|N|N||||||St. Johns|0|0||0|0|N||N||N||N|||-1|
CCCA1B82-F109-4F6F-A5D6-3BD0433D50F9|Cm0850 Grant|8343|RDP081111-01|CM|2008-11-11|Indiatlantic|Juvenile|UR|||URI and fecal impaction/gas|N|Y|N|N|Y|N|N|N|N|N|N||||||Brevard|0|0||0|0|N||N||N||N|||-1|
102F4C83-93F9-4788-9F1B-1D8E9538038F|Cc0851 Patti|7257|MLB071201-03|CC|2008-11-13|Ormond by the Sea|Adult|UR|||URI, transfer back from Clearwater Marine Aquarium|N|Y|N|N|N|N|N|N|N|N|N||||||Volusia|0|0||0|0|N||N||N||N|||-1|
23132914-9C92-4DD1-BBF3-30D7092B7F9D|Cm0852 Tucker|8344|DBH081113-01|CM|2008-11-13|Indiatlantic|Juvenile|UR|||URI and fecal impaction/gas; formerly Cm0876; recent rff amputation from monofilament|N|Y|N|N|Y|N|N|N|N|N|N||||||Brevard|0|0||0|0|N||N||N||N|||-6751336|DD53FCCD-D2F4-4F48-A0D2-AF5056E8C8C2
